movie_id,genre_id
1,2
1,3
1,4
1,5
1,9
2,2
2,4
2,9
3,5
3,15
4,5
4,8
4,15
5,5
6,1
6,6
6,17
7,5
7,15
8,2
8,4
9,1
10,1
10,2
10,17
11,5
11,8
11,15
12,5
12,11
13,2
13,3
13,4
14,8
15,1
15,2
15,15
16,6
16,8
17,8
17,15
18,5
19,5
20,1
20,5
20,6
20,8
20,17
21,5
21,6
21,17
22,6
22,8
22,11
22,14
22,17
23,1
23,6
23,17
24,8
24,16
25,8
25,15
26,8
27,4
27,8
28,8
28,15
29,2
29,8
29,9
29,14
29,16
30,6
30,8
31,8
32,14
32,16
32,17
33,2
33,15
33,12
34,4
34,8
35,8
35,15
36,6
36,8
37,7
37,12
38,4
38,5
39,5
39,15
40,8
41,8
41,18
42,1
42,6
42,8
43,8
44,1
44,2
44,9
45,5
45,8
45,17
46,8
46,15
47,14
47,17
48,3
48,4
48,8
48,13
48,15
49,8
49,15
50,6
50,14
50,17
51,1
51,8
51,17
52,5
52,8
52,15
53,2
53,8
54,4
54,5
55,8
56,2
56,4
56,5
56,9
57,8
58,5
58,8
58,15
59,8
59,14
60,2
60,4
60,9
61,8
61,17
62,8
63,5
63,6
64,5
64,15
65,5
66,1
66,16
66,17
67,8
68,5
68,15
69,5
70,1
70,5
70,11
70,17
71,1
72,5
72,8
73,8
73,18
74,8
74,15
75,5
75,8
76,1
76,16
76,17
77,7
78,1
78,6
78,8
78,17
79,8
79,17
80,4
80,8
81,6
81,8
81,15
82,5
82,8
83,8
83,15
84,5
84,8
85,8
85,15
86,1
86,2
86,8
87,4
87,5
88,5
89,1
89,17
90,8
92,8
92,11
92,17
93,5
93,11
93,15
94,5
94,8
94,15
95,1
95,2
95,17
96,5
96,8
97,6
97,8
98,1
98,17
99,7
100,8
100,17
101,2
101,5
101,6
101,15
102,5
103,14
103,16
103,17
104,5
105,8
105,15
106,5
106,8
107,2
107,4
107,5
107,13
108,7
109,5
109,8
109,17
110,1
110,8
110,18
111,6
111,8
111,17
112,1
112,2
112,5
112,6
113,8
113,14
114,8
115,5
116,7
117,6
117,8
118,5
118,15
119,5
120,2
120,5
120,8
121,8
122,5
122,15
123,8
123,14
123,15
124,8
125,5
126,2
126,4
126,9
127,8
128,7
129,5
129,15
130,8
131,8
131,15
132,17
133,5
133,8
134,7
135,5
136,7
137,7
138,8
140,8
140,15
141,5
142,8
143,8
144,5
145,1
145,5
145,6
145,8
145,17
146,2
146,4
147,8
148,8
149,6
149,8
149,17
150,2
150,8
150,12
151,1
151,8
151,15
151,18
152,8
152,11
153,1
153,2
153,5
153,6
154,8
155,2
155,8
155,18
156,5
156,8
157,5
157,18
158,2
158,4
159,6
159,8
159,14
160,1
160,2
160,14
160,16
161,8
161,17
161,18
162,7
163,1
163,15
163,19
164,6
164,10
164,14
164,17
165,1
165,6
165,17
166,5
166,6
166,8
167,8
168,1
168,8
168,15
169,2
169,4
169,8
170,1
170,2
170,6
170,17
171,5
171,8
172,1
172,16
172,17
173,1
173,6
173,16
174,5
175,8
176,5
177,11
178,5
178,8
179,8
179,15
180,5
180,15
181,1
181,4
182,8
182,15
183,5
183,11
183,17
184,8
185,1
185,6
185,17
186,5
186,15
187,5
188,9
188,11
188,14
189,5
189,9
190,17
191,8
191,15
192,7
193,8
194,5
194,8
195,5
195,8
195,15
196,11
196,16
197,8
198,1
198,6
198,8
198,14
198,16
198,17
199,8
199,13
199,15
200,17
201,8
201,9
